ticker,total_investment,quantity,total_value,total_pnl
ONTO,122800,1900.9242124936386,371934.8383778977,249134.8383778977
ATI,125800,6019.084634823709,373905.5310861728,248105.5310861728
DECK,125800,403.9218844342676,373510.61463044834,247710.61463044834
MUSA,125800,693.9664193447366,372944.47478326136,247144.47478326136
MLI,125800,5366.508994748371,372650.3976971555,246850.39769715548
SCWO,125800,228315.86687703864,369871.70542949747,244071.70542949747
TRMD,125800,10870.054760425824,367951.3370540269,242151.3370540269
AXON,125800,955.7525585196045,366034.1253620493,240234.12536204932
HRTG,125800,23431.59385807634,365532.8731244346,239732.8731244346
WING,125800,920.4702391537616,364791.5582317854,238991.55823178543
BOOT,125800,2372.4649961427194,361492.4798779644,235692.47987796442
CSWI,125800,1089.345472161755,361259.6442520725,235459.6442520725
JILL,125800,14293.453692417657,361052.64354198193,235252.64354198193
KEQU,125800,8706.235147400183,360874.3170050045,235074.3170050045
BLBD,125800,7141.938807697311,357311.1898309094,231511.18983090942
STNG,125800,5253.069029716385,357208.69402071415,231408.69402071415
BYRN,125800,21399.53840905881,356730.30691166554,230930.30691166554
AAOI,125800,24521.94197005924,356549.0353092235,230749.03530922352
DRS,125800,12761.895293887646,355546.41067695257,229746.41067695257
PBR,125800,24265.804738445786,354523.39889769,228723.39889769
KINS,125800,38215.65893936179,353877.01052536035,228077.01052536035
TOL,125800,2393.095418646143,351785.02654098306,225985.02654098306
DELL,125800,3126.217863158681,350699.12084318686,224899.12084318686
WES,125800,8976.01125911052,349615.6453905079,223815.64539050788
TATT,125800,20948.67294352056,348376.4134699209,222576.41346992092
URI,125800,479.0207958380207,345033.8785088087,219233.87850880867
HNRG,125800,52902.43840377065,342278.7653730228,216478.76537302282
PHM,125800,2489.9529108630686,341123.5487882404,215323.5487882404
AMSC,125800,15351.647807942109,338810.8624363312,213010.86243633123
XPO,125800,3127.356998387105,338724.0288601584,212924.0288601584
VNOM,125800,7757.37266400989,337988.72460354865,212188.72460354865
NVMI,125800,1623.5503568286458,336367.1510365209,210567.1510365209
FSLR,125800,1374.607944170222,333589.8458233002,207789.8458233002
RRC,125800,11384.834048879962,333461.799714821,207661.79971482098
CLMT,125800,20503.69254977033,332364.83746008587,206564.83746008587
ARLP,125800,14135.719704347272,329220.92485588585,203420.92485588585
TBBK,125800,6818.977532521361,329220.2269461841,203420.22694618412
SMID,125800,10013.262386822797,327133.2638426697,201333.26384266972
NGVC,125800,11626.813467896745,326248.3796997944,200448.3796997944
ENVA,125800,4125.2594042941555,324864.1780881648,199064.17808816477
MPWR,125800,360.4123614729281,324738.7529736416,198938.75297364162
PANW,125800,940.3344413797105,324612.8444736055,198812.8444736055
FTI,125800,13435.024186677409,324321.47566630464,198521.47566630464
AROC,125800,16709.79520430433,323501.6453541814,197701.6453541814
FCNCA,125800,175.22273340109479,321747.4823922797,195947.48239227972
SGML,125800,30690.57684150873,321330.34772586456,195530.34772586456
DY,125800,1730.6694577614765,321281.4770825237,195481.4770825237
UEC,125800,60689.83949034434,321049.2485887879,195249.24858878792
WFRD,93000,3162.055921433407,287683.85834682314,194683.85834682314
LPG,125800,9165.707020945014,319333.2340083002,193533.23400830018
MTDR,125800,6332.575813790087,318465.2434731498,192665.24347314978
KKR,125800,2630.2380417927843,318153.59112720034,192353.59112720034
SIG,125800,3617.6240250399223,317699.7407749947,191899.74077499472
TH,125800,31815.452513497446,316563.7464409836,190763.7464409836
SPXC,125800,2104.581887710252,316339.6984035886,190539.6984035886
MPC,125800,1943.4600305237232,316259.2424637684,190459.2424637684
APP,86000,2584.794380759863,276185.27564010816,190185.27564010816
REAX,92600,49831.8653913266,282546.6805706915,189946.68057069147
AMR,90600,1360.4508299407873,279939.97308938886,189339.97308938886
FRHC,125800,3293.1437152004405,314034.1866914894,188234.18669148942
HMY,125800,31325.000831806996,312623.49396198645,186823.49396198645
PIPR,125800,1179.923436371595,312490.91856764455,186690.91856764455
HRB,125800,4931.886865550494,310511.5925397818,184711.59253978182
GVA,125800,4122.3811776289185,310003.0519771857,184203.0519771857
IRS,125800,25767.251044887722,309464.69094675727,183664.69094675727
ERIE,125800,599.9927084383071,308840.2408822304,183040.2408822304
PGR,125800,1200.916111583987,307806.8056281676,182006.80562816758
ARES,125800,2129.8472310466905,307549.92716358625,181749.92716358625
KLAC,125800,414.72425810498095,307464.12120626896,181664.12120626896
CVLT,125800,2077.141709854799,307167.7261956212,181367.7261956212
CLH,125800,1267.2491248282995,306623.60675159766,180823.60675159766
GPI,125800,867.4517056463488,305629.247802467,179829.24780246703
GFF,125800,4634.488445446901,305598.17940743774,179798.17940743774
LRN,125800,3753.658448543338,304872.14377279254,179072.14377279254
ROAD,125800,4701.061836464682,303829.6135788604,178029.61357886042
DHI,125800,1578.9355177677137,302524.0548413515,176724.05484135152
GOGL,125800,25948.648704136456,302042.27982490987,176242.27982490987
DAKT,125800,24121.374122932455,301275.95727448195,175475.95727448195
WSM,125800,2157.674748830541,301146.6804975605,175346.68049756048
AGYS,125800,2941.380983771356,300609.1275650502,174809.1275650502
NEON,125800,36216.2689112336,300595.038870944,174795.038870944
CRVL,125800,978.690960363379,299479.43387119396,173679.43387119396
TPL,125800,371.200223026514,297925.28993857466,172125.28993857466
NGD,125800,100968.48569644042,297857.0376190518,172057.0376190518
FN,125800,1319.7013743816324,297209.9553847872,171409.95538478717
ZETA,82100,9370.159349254678,252900.59869172447,170800.59869172447
TT,125800,821.989650478989,296335.496921423,170535.496921423
ORCL,125800,1705.855157541488,296307.0356590997,170507.0356590997
ACGL,125800,2671.816061796495,295903.6288439618,170103.6288439618
QRHC,125800,33907.83946856552,295676.36922026135,169876.36922026135
IMO,125800,4445.7067027176145,294616.9682651541,168816.9682651541
KRUS,125800,3777.468152260111,294189.20932289126,168389.20932289126
IVT,125800,9860.423254961319,293939.21196436277,168139.21196436277
AGI,125800,14366.144989303608,293931.3133285533,168131.31332855328
TRNS,125800,2365.4344436629685,293313.8710142081,167513.87101420813
CRAI,125800,1792.2878865690525,293182.45576674276,167382.45576674276
REVG,125800,10677.286984444207,292557.6593007095,166757.6593007095
GLNG,125800,9179.734038228775,292374.53261937713,166574.53261937713
TK,125800,33752.78806391659,291286.56485430023,165486.56485430023
SPLP,125800,7249.770995844483,290570.834788174,164770.83478817402
PFMT,125800,76167.64173326024,290198.7106453741,164398.71064537409
CSPI,125800,23945.721356442857,289743.23754752637,163943.23754752637
TPC,125800,12175.358822759956,289530.0411653872,163730.0411653872
TMHC,125800,4298.272420742933,289402.6899589935,163602.68995899352
EVR,125800,1226.9503885786783,289302.6238853846,163502.6238853846
FLEX,125800,9620.941811899473,287618.0598708524,161818.0598708524
HCC,125800,5291.194902130971,287576.4348570956,161776.4348570956
CCJ,125800,7022.2732388526465,287351.408075684,161551.40807568398
LINC,125800,23447.142731035645,286524.0904343182,160724.09043431818
SKT,125800,8974.709106974427,286472.7153793397,160672.7153793397
RCL,125800,1719.5571373876219,286237.4926344218,160437.4926344218
NBN,125800,4189.407294648828,285633.79062766273,159833.79062766273
EMO,125800,7100.054313878199,285422.1888348151,159622.1888348151
NR,125800,39780.62525556779,285227.08611744194,159427.08611744194
NSIT,125800,1380.9854503121653,283861.56352609873,158061.56352609873
PSN,125800,2953.666472128133,283463.3749356868,157663.37493568682
FRO,125800,12550.67376927494,283143.1935320597,157343.19353205973
IDT,125800,7630.250317556365,282777.0872471931,156977.0872471931
BITF,125800,138615.61474442424,282775.8487908594,156975.8487908594
ATER,125800,92980.46188416166,282660.6005809283,156860.60058092832
EP,125800,57068.2841484191,282487.99564976315,156687.99564976315
GHM,125800,9553.146990646743,282391.0199415868,156591.01994158683
UTI,125800,16898.96208617831,282212.6797320627,156412.67973206268
LEU,125800,7077.241344150176,281886.53569631744,156086.53569631744
KBH,125800,3372.0851724915706,281838.8848913178,156038.8848913178
UAN,125800,4234.250073835501,281365.90448446333,155565.90448446333
GSM,125800,67633.13539662756,281353.8329299732,155553.8329299732
GASS,125800,40459.226894386564,281191.6191990015,155391.61919900152
KNSL,125800,607.5688098932809,280532.7532669749,154732.75326697488
FLR,125800,6157.148279820452,280334.95366417506,154534.95366417506
KOSS,125800,37402.411903840555,279770.0417541217,153970.04175412172
IT,125800,552.2261267087687,279448.51387843443,153648.51387843443
CHCI,125800,34004.31410557808,279175.4201039577,153375.4201039577
RCAT,125800,96152.57895105344,278842.48812787945,153042.48812787945
JAKK,125800,11796.210599276706,277800.75061317196,152000.75061317196
SKYW,125800,3612.4379651773697,277615.852111738,151815.852111738
AXR,125800,12775.410638991607,277354.15327627,151554.15327627002
PH,125800,469.45533554974503,277194.60774388316,151394.60774388316
R,125800,2016.6836946859285,277052.0158230412,151252.0158230412
GATO,97500,16549.89019143205,248082.85018159717,150582.85018159717
CTAS,125800,1341.9600419336398,276336.4093777729,150536.40937777288
SBLK,125800,13296.729356070104,276173.0748123357,150373.07481233572
ETN,125800,902.0104532703248,275852.8434256526,150052.8434256526
IBP,125800,1252.064097921437,275579.3155945011,149779.3155945011
NOG,125800,7984.55679889097,275227.68260454515,149427.68260454515
JEF,125800,4744.812615971923,275199.13172637153,149399.13172637153
PLTR,99500,7115.085808361957,248814.55940382511,149314.55940382511
AIT,125800,1349.5642998871767,275081.6937171293,149281.6937171293
EXP,125800,1024.0170875582753,274313.70241519425,148513.70241519425
NRG,125800,3477.8131813414193,273877.7880306368,148077.7880306368
ELTK,125800,25453.756091339186,273373.3345950804,147573.3345950804
ACLS,125800,2712.9460954280066,273356.4543708041,147556.45437080407
FLNG,125800,10469.27919360041,273352.88613484765,147552.88613484765
IGIC,125800,15471.769702475958,273231.4505849207,147431.4505849207
SAIA,125800,643.9512478399553,273144.80944308016,147344.80944308016
BMI,125800,1330.6041079985825,272906.91067187226,147106.91067187226
MRO,125800,10427.91387202427,272481.38072454056,146681.38072454056
COST,125800,298.21679978656664,272459.8162451376,146659.8162451376
ROOT,97500,6472.270762154653,244069.3245153111,146569.3245153111
META,125800,523.179576930663,272351.5961946769,146551.59619467688
DXLG,125800,102769.93963270169,272340.34982756467,146540.34982756467
HBB,125800,9422.342330324906,272023.0309840244,146223.0309840244
VCTR,125800,5210.199711092413,271920.31576679257,146120.31576679257
NVT,125800,4158.300012270487,271453.8197249676,145653.8197249676
TROO,125800,70500.46621648513,271426.78821001935,145626.78821001935
STLD,125800,2429.9050797658583,271250.2973803291,145450.2973803291
CMT,125800,15054.117845054434,270974.1212109798,145174.12121097982
AGX,125800,3004.924936550593,270803.8435352123,145003.84353521228
PDS,125800,4155.7489782842595,270123.68358847685,144323.68358847685
DMLP,125800,9150.308618724106,270117.1146134145,144317.1146134145
FLXS,125800,6466.669505220509,269918.7960019941,144118.7960019941
CCS,125800,2652.4451264018535,269859.7614938905,144059.7614938905
PATK,125800,2018.1919837781502,269751.54794262734,143951.54794262734
TFII,125800,1878.4837029074952,269693.91898485465,143893.91898485465
HUBB,125800,669.6307070419607,269673.6791573587,143873.6791573587
INSW,125800,5442.451089449621,269346.91355183517,143546.91355183517
GLP,125800,6162.290871764005,269292.11579754186,143492.11579754186
CW,125800,884.0401632334982,269278.6391166765,143478.63911667652
MATX,125800,2056.681739078512,268746.5990794924,142946.5990794924
LPX,125800,2820.7879071250445,268510.8077659222,142710.80776592222
NECB,125800,12156.767526593672,268178.2851442421,142378.2851442421
GWW,125800,268.02342756813266,267192.5614862122,141392.5614862122
KNTK,125800,6084.182073313501,266548.02498721704,140748.02498721704
FSS,125800,3058.2522452458566,266465.50972853083,140665.50972853083
BRBR,123400,4498.445608592276,263968.7896850114,140568.78968501138
TPH,125800,6048.088046072119,266297.3092856354,140497.30928563542
ESQ,125800,4346.130400208097,266222.2223069151,140422.2223069151
NTNX,125800,4392.794521139216,266115.50013406074,140315.50013406074
ARCH,125800,2106.577017669927,265765.76426375343,139965.76426375343
TDG,125800,197.1390101519969,265713.8100204049,139913.81002040493
MTH,125800,1328.054973463618,265531.31463663746,139731.31463663746
TSLA,125800,1162.5882143198169,265070.11286491825,139270.11286491825
AVAV,125800,1417.0863616070078,264995.14962051046,139195.14962051046
MCVT,125800,90747.90345006055,264983.88499769237,139183.88499769237
LEN,125800,1443.7639136488106,264858.48555285647,139058.48555285647
MANH,125800,998.5468818403351,264804.6500330971,139004.65003309707
ASPN,125800,10802.193941640166,264653.7515701841,138853.75157018407
PFSI,125800,2353.2655897184845,264459.9805091263,138659.98050912633
OII,125800,11340.992897946599,264245.12586966483,138445.12586966483
MLP,125800,10778.82695567224,264081.2604139699,138281.26041396993
BSVN,125800,6861.619086588033,264035.09931090754,138235.09931090754
EGY,125800,47734.36510129996,263971.0490252572,138171.04902525718
MPLX,125800,6084.860573210752,263778.6965639257,137978.6965639257
CRH,125800,3019.2564665260415,263732.04774402996,137932.04774402996
RACE,125800,558.9199336509706,263379.84647482465,137579.84647482465
GMS,125800,3063.974150986321,263256.6534424405,137456.6534424405
MBIN,125800,6123.849085384696,263203.0308865586,137403.03088655858
VSEC,125800,3042.8013049637684,263050.16352822515,137250.16352822515
TIPT,125800,13597.93428226978,262304.1647542647,136504.1647542647
MSI,125800,596.2365578927584,261902.87624259567,136102.87624259567
VEL,117200,12922.112298117088,253273.40597248956,136073.40597248956
ARLO,125800,22229.609351738345,260975.60870145436,135175.60870145436
SKY,125800,2807.507499312483,260957.81349326237,135157.81349326237
AAON,125800,2773.8475002765745,260880.36586612262,135080.36586612262
AMPY,125800,41196.34319454585,260772.84927844367,134972.84927844367
FANG,125800,1522.5214631514764,260701.34363051382,134901.34363051382
CNQ,125800,8026.218951288611,260290.28303969727,134490.28303969727
KTB,125800,3518.6257682621595,259569.01111290645,133769.01111290645
TECK,125800,5567.841946350103,259461.42620406224,133661.42620406224
NXE,125800,44119.725116797126,258541.59507505,132741.59507505
BLD,125800,688.0058862444819,258318.68417039662,132518.68417039662
AFL,125800,2385.5772894281613,258238.74158059846,132438.74158059846
RRR,125800,4764.915802285052,258163.13962194105,132363.13962194105
APO,125800,2284.3579984012144,258132.45381933724,132332.45381933724
LII,125800,439.18719364866234,257807.27883263872,132007.27883263872
TGB,125800,123314.11610778578,257726.4920811368,131926.4920811368
SGRP,125800,106733.34828204327,257227.37852072105,131427.37852072105
GSL,125800,10645.73597826836,256988.06001775662,131188.06001775662
ET,125800,16012.539498992062,256681.01916378108,130881.01916378108
MTSI,125800,2508.2577431007385,256544.59890250547,130744.59890250547
FBP,125800,12704.871858900464,256511.36961633395,130711.36961633395
CSL,125800,628.2156363123647,256393.65071562456,130593.65071562456
AJG,125800,862.8470667459201,255920.44526324046,130120.44526324046
TXRH,125800,1578.7808415269528,255904.58082143567,130104.58082143567
SPOT,125800,757.405412345362,255843.9807081099,130043.98070810991
HLNE,125800,1679.6598961431048,254838.00149319795,129038.00149319795
BZH,125800,7787.161489886933,254484.43986595806,128684.43986595806
X,125800,7168.36546838938,254476.974127823,128676.97412782299
IAG,125800,46353.094329343454,254014.95780891724,128214.95780891724
CNX,125800,9311.385103703373,253921.4760404048,128121.47604040481
CLBT,96800,13206.205185305611,223977.2278521412,127177.2278521412
TTD,125800,2406.814648185435,252715.53805947068,126915.53805947068
MELI,125800,118.04917164769765,252266.3532329682,126466.35323296819
OVV,125800,6475.389820548972,251633.65237879736,125833.65237879736
IDCC,125800,1884.7368946722258,250971.57179666625,125171.57179666625
BX,125800,1694.5217456805294,250789.21836071834,124989.21836071834
ALSN,125800,2872.605975219792,249859.27736776503,124059.27736776503
NSSC,125800,6546.634602268475,249361.31299934335,123561.31299934335
DNN,125800,152777.61939823316,249027.5188906196,123227.5188906196
TSM,125800,1445.3164368381804,248941.3110203685,123141.3110203685
MTG,125800,10016.008742710743,248897.82107716607,123097.82107716607
CROX,125800,1933.180199948975,248606.98551263375,122806.98551263375
AM,125800,16954.0662996152,248377.06482189964,122577.06482189964
PSTG,125800,5128.486528440844,247552.04707547437,121752.04707547437
ATGE,125800,3389.791831119402,247353.11405471226,121553.11405471226
ALAR,125800,19446.120335078165,246187.8804748471,120387.8804748471
CMG,125800,4359.877614477347,246115.0946635689,120315.09466356889
SB,125800,52424.21460334308,245345.31534443278,119545.31534443278
HIMS,125800,15094.736441251356,245289.46717033454,119489.46717033454
WMB,125800,5474.133249366745,245186.4332508552,119386.43325085519
GAU,125800,161202.43521608826,245027.6984537617,119227.6984537617
NVR,125800,26.460049555224415,244808.3784849363,119008.37848493629
WAB,125800,1458.3575645962896,244712.4037898115,118912.4037898115
DAVE,85300,5746.789736695409,203666.2203764706,118366.22037647059
DHT,125800,22190.672043150156,244097.39247465172,118297.39247465172
BBSI,125800,6688.123588548011,243915.87543855933,118115.87543855933
AMP,125800,556.7441894558481,243781.57551855472,117981.57551855472
CRTO,125800,5467.885193330646,243758.331930677,117958.331930677
WSO,125800,514.2433631499256,243663.92585620595,117863.92585620595
UBS,125800,8272.76191889252,243053.73823428413,117253.73823428413
KGC,125800,24365.445899075963,242923.50212006335,117123.50212006335
WCC,125800,1542.838365602226,242889.03259667277,117089.03259667277
OFG,125800,5567.932246430386,242761.83744837446,116961.83744837446
CIVI,125800,4571.059139480492,242723.23333153143,116923.23333153143
VSTO,125800,6098.340391932621,242652.96977819636,116852.96977819636
CDNS,125800,900.4138659834389,242580.50293201234,116780.50293201234
METC,125800,23649.2578290135,242404.89274738837,116604.89274738837
LYTS,125800,15355.415720507528,241847.79759799357,116047.79759799357
ODC,125800,3565.212639728654,241792.72013838074,115992.72013838074
HLX,125800,25132.458904403797,241271.6150695487,115471.61506954869
GDDY,125800,1580.3804279875858,240992.22014511592,115192.22014511592
AN,125800,1473.1430254190768,240652.64553159554,114852.64553159554
OC,125800,1468.3029512947105,240552.07519915543,114752.07519915543
UNM,125800,4387.198439856535,240418.47115697133,114618.47115697133
PAG,125800,1589.0157380070914,240227.38763361322,114427.38763361322
CYBR,125800,878.2038193222568,239749.6426749761,113949.64267497609
TTSH,125800,37934.27890632481,239365.29772829273,113565.29772829273
IR,125800,2650.9691281060286,239329.48964936598,113529.48964936598
PPTA,89900,23004.96009458989,202903.74101372616,113003.74101372616
IBKR,125800,1905.9321422726307,238222.4543911458,112422.45439114579
LAUR,125800,14777.1284610519,238207.32319361635,112407.32319361635
TZOO,125800,16211.980341049668,237991.8763541129,112191.8763541129
HIG,125800,2053.1501626909994,237344.15567422102,111544.15567422102
CBT,125800,2281.531071662139,237302.05163745524,111502.05163745524
JBL,125800,2265.8412401189407,237301.56068393524,111501.56068393524
CRWD,125800,922.7123932485465,237137.08506487645,111337.08506487645
EGO,125800,13158.86029820642,236859.48536771556,111059.48536771556
BORR,125800,42769.234485145294,236513.87567619598,110713.87567619598
BBVA,125800,23249.870216278716,236451.18187337887,110651.18187337887
LQDT,125800,10567.212354099975,236388.54922957398,110588.54922957398
NTG,125800,5175.013021650736,236342.83522305725,110542.83522305725
AMAT,125800,1274.7967000137787,236219.832402924,110419.83240292399
EAT,125800,3361.414544895386,235971.290793433,110171.290793433
CASY,125800,616.4738919936674,235943.0594555208,110143.0594555208
FTNT,125800,3151.2382167888413,235302.95187753328,109502.95187753328
CGBD,125800,13832.518723059442,235291.14664525338,109491.14664525338
AMD,125800,1540.8639236708773,234704.40413917246,108904.40413917246
TTEK,125800,4993.6341700961275,234700.80599451798,108900.80599451798
AGM,125800,1254.0678237179118,234397.82152364842,108597.82152364842
ARCB,125800,2301.791424059734,233977.1017679269,108177.10176792691
HESM,125800,6444.181949908923,233923.79986517326,108123.79986517326
BLX,125800,7665.887213003947,233732.899369908,107932.899369908
AKA,74900,5935.131092211144,182802.03311195757,107902.03311195757
CCB,125800,4651.70989702392,233562.34967080344,107762.34967080344
APH,125800,3661.240040685624,233330.82611691213,107530.82611691213
AER,125800,2507.285688673962,233027.13802666098,107227.13802666098
PBF,125800,7305.441381612181,232824.42296295063,107024.42296295063
NOW,125800,263.95510409929864,232747.69729701168,106947.69729701168
MGY,125800,9789.846277423763,232508.84908881437,106708.84908881437
CAT,125800,678.7240226380981,232408.68894546342,106608.68894546342
NTAP,125800,1992.3024859463512,231943.8517658594,106143.8517658594
LXU,125800,31991.688657327846,231939.74276562687,106139.74276562687
CBZ,125800,3432.5732253755177,231767.33265443458,105967.33265443458
NGS,125800,11812.402569591635,231641.22159941035,105841.22159941035
BRO,125800,2269.749785933777,231582.5678881326,105782.56788813259
AZO,125800,74.03291710208785,231150.75752629124,105350.75752629124
PJT,125800,1895.3526574394032,230797.08673382312,104997.08673382312
MLR,125800,3930.323750401025,230670.69551355785,104870.69551355785
CUBI,125800,4748.016397655902,230611.15498516758,104811.15498516758
WMS,125800,1571.536547187157,230465.82505309873,104665.82505309873
HEI,125800,898.6543963391503,230414.98173640697,104614.98173640697
FCX,125800,5461.283396656419,230138.47900179867,104338.47900179867
DVN,125800,5784.363679571465,230101.98011236204,104301.98011236204
SXI,125800,1354.089576832593,230059.81083915065,104259.81083915065
ORLY,125800,204.5336684067839,229681.07295040245,103881.07295040245
BDC,125800,2248.0755298366075,229506.02260832078,103706.02260832078
XOM,125800,2054.4624022510357,229010.92648681163,103210.92648681163
USM,125800,4089.1445762040735,228992.0962674281,103192.0962674281
STGW,125800,32313.31892705873,228455.17036125404,102655.17036125404
SPSC,125800,1198.102921544947,228358.42415910683,102558.42415910683
PLUS,125800,2555.176324542683,228253.90575006543,102453.90575006543
JXN,76300,2148.469586596979,178322.97568754925,102022.97568754925
OKE,125800,2510.2508157823204,227805.26153224558,102005.26153224558
