ticker,total_investment,quantity,total_value,total_pnl
SKL-USD,138300,2442057.675371838,82053.71719869939,-56246.28280130061
PRQ-USD,148700,1089562.1844224315,92379.09750130499,-56320.90249869501
PERP-USD,146300,144489.18883465423,89201.53497800931,-57098.46502199069
BTRST-USD,109600,130400.52596944128,51789.06761441565,-57810.93238558435
GAL-USD,156000,56460.18953979187,97841.31085258613,-58158.68914741387
UNI-USD,179100,992615325.9169418,119734.658737199,-59365.341262801
FIDA-USD,136200,318175.4631402631,76773.10371128727,-59426.89628871273
DESO-USD,118700,8479.768274201915,57646.76957151768,-61053.23042848232
ZEC-USD,182700,3937.387681457951,120634.94738219115,-62065.05261780885
ALCX-USD,129600,4768.8560687808385,67436.39723421131,-62163.60276578869
DOT-USD,148700,19450.22616596866,86342.8675022575,-62357.132497742496
ILV-USD,126400,1581.146860240394,63312.65624721869,-63087.34375278131
SNX-USD,182700,82761.14112951874,119067.00020440406,-63632.99979559594
CVX-USD,121600,26770.321022480217,56564.19255904129,-65035.80744095871
C98-USD,114900,405016.6824856932,49388.308355499765,-65511.691644500235
RAD-USD,129500,57013.2243545877,63690.30891849309,-65809.69108150691
BAT-USD,182700,659556.1986947601,114139.73915271956,-68560.26084728044
PLU-USD,182700,48974.58868321534,111335.50546778148,-71364.49453221852
FLOW-USD,132700,107788.77634251295,60320.37198884747,-72379.62801115253
AUDIO-USD,142300,537676.4088602781,68587.99215989983,-73712.00784010017
YFI-USD,151800,15.769696110097582,77605.30797383984,-74194.69202616016
ATOM-USD,182700,25491.816251366898,108086.46199392295,-74613.53800607705
OXT-USD,173400,1346537.4075496248,98466.14626450045,-74933.85373549955
1INCH-USD,136000,226267.386690149,59326.39122749906,-76673.60877250094
SUSHI-USD,147900,107246.38414286487,69782.20207291764,-78117.79792708236
INV-USD,128700,2154.0899428714133,47896.74996416706,-80803.25003583294
OGN-USD,171100,969860.968079696,88844.04191259072,-82255.95808740928
FIL-USD,182700,25889.10324910623,94788.1179310138,-87911.8820689862
ALGO-USD,182700,718358.1891900632,94287.15202912681,-88412.84797087319
STX-USD,178400,16905371.448950075,89477.75408438093,-88922.24591561907
GFI-USD,119000,57601270.289039485,22564.948093165433,-96435.05190683456
QI-USD,130500,8392834.226739237,33810.92789718012,-96689.07210281989
CRV-USD,149300,186205.93245994626,51231.6435434772,-98068.3564565228
DASH-USD,182700,3397.331126411587,83245.12946647278,-99454.87053352722
XTZ-USD,182700,127000.01594783575,82581.9518555092,-100118.0481444908
GTC-USD,182700,170516284.25518098,81144.82139788978,-101555.17860211022
BAL-USD,154400,23778.59675457253,45326.24078173963,-109073.75921826037
EOS-USD,182700,135567.36272472932,67615.89093235655,-115084.10906764345
KAVA-USD,178700,162445.3608822208,51069.81784978308,-127630.18215021692
LIT-USD,182700,112314210.94982065,22274.5504479899,-160425.4495520101
